hundename,geburtsjahr_hund,geschlecht_hund
"Elvis",2008,"m"
"Elvis",2005,"m"
"Elvis",2010,"m"
"Elvis",2014,"m"
"Elvis",2008,"m"
"Elvis",2016,"m"
"Elvis",2009,"m"
"Elvis",2015,"m"
"Elvis",2011,"m"
"Elvis",2012,"m"
"Elvyn",2012,"m"
"Embra",2016,"w"
"Emely",2008,"w"
"Emely",2015,"w"
"Emely (Daisy Mae)",2013,"w"
"Emi",2004,"w"
"Emil",2014,"m"
"Emil",2010,"m"
"Emil",2011,"m"
"Emil Albert",2008,"m"
"Emili",2015,"w"
"Emilio",2017,"m"
"Emilio",2014,"m"
"Emiliya",2016,"w"
"Emily",2005,"w"
"Emily",2011,"w"
"Emily",2006,"w"
"Emily (Xoxolate of Bloodline)",2005,"w"
"Emma",2009,"w"
"Emma",2012,"w"
"Emma",2011,"w"
"Emma",2017,"w"
"Emma",2014,"w"
"Emma",2015,"w"
"Emma",2011,"w"
"Emma",2008,"w"
"Emma",2007,"w"
"Emma",2016,"w"
"Emma",2013,"w"
"Emma",2009,"w"
"Emma",2012,"w"
"Emma",2009,"w"
"Emma",2012,"w"
"Emma",2013,"w"
"Emma",2013,"w"
"Emma",2013,"w"
"Emma (Haysha)",2014,"w"
"Emma (Svenja)",2007,"w"
"Emma (Zora)",2007,"w"
"Emmely",2015,"w"
"Emmi",2008,"w"
"Emmi",2010,"w"
"Emmi",2005,"w"
"Emmy",2014,"w"
"Emtschi",2009,"m"
"Emy",2009,"w"
"Emy (Sophia Loren)",2012,"w"
"Ena von der Linde",2010,"w"
"Enapay",2008,"m"
"Endra",2003,"w"
"Energy (Dimitrie-Napoleon)",2015,"m"
"Enisa",2008,"w"
"Enja",2010,"w"
"Enja",2011,"w"
"Enja",2011,"w"
"Enja Fazzini",2012,"w"
"Ennio du brave Coeur",2014,"m"
"Enoja",2014,"w"
"Enok",2011,"m"
"Enola",2007,"w"
"Enrico",2014,"m"
"Enya",2016,"w"
"Enya",2006,"w"
"Enzo",2009,"m"
"Enzo",2017,"m"
"Enzo",2017,"m"
"Enzo",2005,"m"
"Ercolino",2013,"m"
"Erni",2015,"m"
"Ernie",2014,"m"
"Eros",2010,"m"
"Eros",2016,"m"
"Eros",2016,"m"
"Eros",2017,"m"
"Eros",2017,"m"
"Eros",2010,"m"
"Eros",2014,"m"
"Eros",2013,"m"
"Eros Rocky",2017,"m"
"Errol",2015,"m"
"Escobar",2012,"m"
"Eske",2014,"w"
"Esko vom Paradiesertor",2012,"m"
"Eslan",2017,"m"
"Esprit Active Crispy Concho",2014,"m"
"Estella",2016,"w"
"Estragon (Dylan Wieselweide)",2013,"m"
"Estreja",2004,"w"
"Estrella",2011,"w"
"Estrella",2008,"w"
"Estrellita",2008,"w"
"Estrellita",2017,"w"
"Estrellita",2012,"w"
"Estrupi",2011,"m"
"Ethel",2004,"w"
"Etoo",2010,"m"
"Etoo",2005,"m"
"Etoo de la casa Amistosa",2012,"m"
"Eugenia",2013,"w"
"Eusebio",2007,"m"
"Eva",2010,"w"
"Eva (Evchen)",2002,"w"
"Eve",2012,"w"
"Eve-Chloe",2011,"w"
"Evita",2011,"w"
"Evita-Maria",2009,"w"
"Ewa",2014,"w"
"Ewan i Fiori Papavero",2011,"m"
"Ewii (Pickwick Evita)",2009,"w"
"Exactly Him F.T.L. Big (Lapo)",2012,"m"
"Exana",2003,"w"
"Eya",2017,"w"
"Eyla",2005,"w"
"Eyla vom Rassel-Team",2014,"w"
"Ezechiele",2006,"m"
"Fabio",2003,"m"
"Fado",2014,"m"
"Fafa (Bimba)",2010,"w"
"Fagott",2016,"m"
"Fairy",2006,"m"
"Fairy-Floss Blueberry Muffin",2009,"w"
"Falca",2006,"w"
"Falco",2007,"m"
"Falco",2010,"m"
"Falco",2009,"m"
"Falco",2016,"m"
"Falco",2009,"m"
"Famas",2010,"m"
"Fame",1999,"w"
"Fame",2012,"w"
"Fanni",2016,"w"
"Fanny",2013,"w"
"Fanny von Fünf Dörfer",2015,"w"
"Fantastic Feature's Happy Lou",2017,"w"
"Faolan",2014,"m"
"Farah",2006,"w"
"Farah",2015,"w"
"Fargo",2010,"m"
"Farina",2014,"w"
"Faro",2007,"m"
"Faro",2006,"m"
"Farok du Lion d'Artois",2010,"m"
"Farrusca",2015,"w"
"Faruk",2009,"m"
"Favia v. Dorfbach",2009,"w"
"Favolosa",2017,"w"
"Fay",2013,"w"
"Fay",2012,"w"
"Faya",2011,"w"
"Faye",2014,"w"
"Fe (Floppy)",2011,"w"
"Fe (Vivi)",2016,"w"
"Feco (Arpad)",2006,"w"
"Fee",2017,"w"
"Fee (Claim to Courage)",2012,"w"
"Feith",2011,"m"
"Feivel of Rivendell",2011,"m"
"Felfel",2016,"m"
"Felice",2007,"m"
"Felicia",2009,"w"
"Feliks",2012,"m"
"Felix",2016,"m"
"Felix",2012,"m"
"Felix",2007,"m"
"Felix",2015,"m"
"Felix",2010,"m"
"Felix (Candyboy v. alten Zoll)",2008,"m"
"Feliz",2009,"m"
"Fellini",2004,"m"
"Fellow",2012,"m"
"Fenja",2017,"w"
"Fenja-Chanell of Clermont",2016,"w"
"Fenjo",2009,"m"
"Fenny",2000,"m"
"Fenya",2009,"w"
"Ferdinand",2013,"m"
"Fermin (Casa Libra)",2011,"m"
"Feta",2009,"w"
"Fetiza",2007,"w"
"Fey-Felice",2013,"w"
"Fiamma",2004,"w"
"Fiasco",2006,"m"
"Fibi",2012,"w"
"Fibie",2004,"w"
"Ficelle",2010,"w"
"Fidel",2015,"m"
"Fidji",2011,"w"
"Field",2016,"m"
"Fiete (Alf von fünf Dörfer)",2015,"m"
"Fifi",2009,"w"
"Figaro",2014,"m"
"Figaro",2006,"m"
"Figo",2011,"m"
"Fila",2009,"w"
"Fili",2012,"w"
"Filini",2017,"w"
"Filip",2009,"m"
"Filipa",2013,"w"
"Fillis",2010,"w"
"Filo",2007,"w"
"Filou",2013,"m"
"Filou",2009,"m"
"Filou",2012,"m"
"Filou",2015,"m"
"Filou",2004,"m"
"Filou",2005,"m"
"Filou",2006,"m"
"Filou",2008,"m"
"Filou",2010,"m"
"Filou",2012,"m"
"Filou",2013,"m"
"Filou (Alrischa)",2008,"m"
"Filou (Poti)",2007,"m"
"Filou (Shamrock Fire Hart)",2016,"m"
"Filou-Sid",2010,"m"
"Fina",2005,"w"
"Fina",2017,"w"
"Fina",2014,"w"
"Finch Hatton Benetton",2009,"m"
"Finette",2010,"w"
"Finette (Bubu)",2006,"w"
"Fini",2009,"w"
"Finia von Burg Schwärtzenberg",2012,"w"
"Finija",2015,"w"
"Finley",2010,"m"
"Finley",2014,"m"
"Finley (Chapo)",2017,"m"
"Finn",2016,"m"
"Finn",2015,"m"
"Finn",2014,"m"
"Finn",2009,"m"
"Finn (Filou)",2011,"m"
"Finn von Excalibur",2011,"m"
"Finney",2008,"w"
"Finnia (Mimi)",2014,"w"
"Finnix (Nick v.d. Joderten)",2016,"m"
"Finou Irma",2016,"w"
"Fintus",2003,"m"
"Fiocca",2008,"w"
"Fiocco",2006,"m"
"Fiocco",2010,"m"
"Fiona",2012,"w"
"Fiona",2010,"w"
"Fiona",2014,"w"
"Fiona",2007,"w"
"Fiona",2010,"w"
"Fiona",2007,"w"
"Fiona",2016,"w"
"Fiori",2006,"w"
"Fips",2008,"m"
"Fire an Ice",2009,"m"
"Firen",2015,"w"
"Fiselle",2010,"m"
"Fitch",2010,"m"
"Fitz",2002,"m"
"Flaek (Merlin Siebenbannstein)",2012,"m"
"Flambo",2010,"m"
"Flame",2014,"m"
"Flamenco",2014,"m"
"Flash",2013,"w"
"Flash",2005,"m"
"Flash",2012,"w"
"Flat",2004,"m"
"Flavia",2009,"w"
"Flecky",2015,"m"
"Flecky",2013,"m"
"Fletcher",2004,"m"
"Fleur",2014,"w"
"Flicka",2003,"w"
"Flicka (Frieda)",2013,"w"
"Flip",2012,"m"
"Flip",2010,"m"
"Flip v. den Glückspfoten",2016,"m"
"Flo",2016,"m"
"Flo (NN)",2016,"w"
"Flocke (Dalmor Beety Boo)",2008,"w"
"Flocki",2008,"m"
"Flocki",2009,"m"
"Flocki",2017,"m"
"Flocky",2015,"w"
"Flocky Coco of Clermont",2016,"w"
"Floh",2003,"m"
"Floh",2008,"w"
"Floquinho",2016,"m"
"Flor",2010,"w"
"Flora",2009,"w"
"Flora",2011,"w"
"Flora",2014,"w"
"Flori (Jerry)",2012,"m"
"Florin 2",2011,"w"
"Flory gennant Zargo",2006,"m"
"Flosina",2016,"w"
"Floyd Flo Faro",2017,"m"
"Fluke",2014,"m"
"Flummy",2013,"w"
"Fluse",2002,"m"
"Fly",2006,"w"
"Fly",2006,"m"
"Flynn",2014,"m"
"Flynt",2007,"m"
"Flöckli",2012,"w"
"Fofhina",2011,"w"
"Fofinha",2012,"w"
"Fofinha",2011,"w"
"Fofinna",2013,"w"
"Fogo",2004,"m"
"Foltos",2004,"m"
"Fonsi",2005,"m"
"Fonzie",2017,"m"
"Fonzy",2010,"m"
"Foquinha (Lora)",2017,"w"
"Forge",2007,"m"
"Formel 1",2017,"m"
"Fortuna (Fortune)",2010,"w"
"Fossi",2010,"m"
"Fox (Casey)",2009,"m"
"Foxie",2017,"w"
"Foxy",2008,"w"
"Foxy",2008,"m"
"Foxy",2014,"w"
"Foxy",2006,"m"
"Foxy",2010,"w"
"Francis",2016,"m"
"Francisca",2008,"w"
"Frangipani von Springbell",2016,"w"
"Frank",2008,"m"
"Frankie",2010,"m"
"Franky",2004,"w"
"Franky",2017,"m"
"Franz",2017,"m"
"Franzi Hamira",2011,"w"
"Fratzi",2010,"w"
"Freaky",2013,"m"
"Freddie",2011,"m"
"Freddy",2012,"m"
"Freddy",2017,"m"
"Freddy",2016,"m"
"Fredi",2016,"m"
"Fredi",2010,"m"
"Fredi (Know How)",2007,"m"
"Frenzy",2007,"m"
"Freya",2014,"w"
"Fricike",2015,"m"
"Fricki (Meru)",2010,"m"
"Frida",2012,"w"
"Frida",2007,"w"
"Frida",2008,"w"
"Frida (Delali)",2015,"w"
"Frida (Fanny)",2011,"w"
"Frido",2012,"m"
"Frieda",2011,"w"
"Frieda",2012,"w"
"Fritz",2005,"m"
"Fritz",2012,"m"
"Fritz vom Winterhorn",2008,"m"
"Fritzens Yew",2009,"w"
"Frodo",2009,"m"
"Frodo",2009,"m"
"Frodo",2016,"m"
"Frodo",2007,"m"
"Frodo",2015,"m"
"Frodo",2003,"m"
"Frosty",2014,"m"
"Fränki",2002,"m"
"Fränzi",2009,"w"
"Fubuki des Fées d'Ebène",2010,"w"
"Fuchs",2014,"m"
"Fuchur",2009,"m"
"Fuego",2011,"m"
"Fuego",2005,"m"
"Fuero",2011,"m"
"Fuffy",2011,"m"
"Fufi",2013,"m"
"Funny",2014,"w"
"Funny",2009,"w"
"Funny",2014,"w"
"Furbo",2013,"m"
"Furbo",2008,"m"
"Furbo",2013,"m"
"Fury",2006,"m"
"Fuzzy",2010,"m"
"Fägi",2010,"m"
"Gab",2006,"m"
"Gabrina",2004,"w"
"Gaby (Gabriella/Wolga)",2005,"w"
"Gadsby",2011,"m"
"Gaia",2008,"w"
"Gaia",2008,"w"
"Gaia",2015,"w"
"Gaia",2010,"w"
"Gala",2014,"w"
"Galahad's Guardian - O'Ascot",2015,"m"
"Galeno",2014,"m"
"Galice",2014,"w"
"Galina",2015,"w"
"Galina (Deni)",2010,"w"
"Gambino",2006,"m"
"Gambra",2011,"w"
"Gana",2006,"w"
"Ganbo",2011,"w"
"Gandhi",2015,"m"
"Gari (Nunu)",2007,"m"
"Garo Del sogno del bosco",2010,"m"
"Garrido",2005,"m"
"Garro v. Spalentor",2010,"m"
"Garu",2007,"m"
"Garufa",2012,"w"
"Gascho",2007,"m"
"Gaspard",2011,"m"
"Gaston",2017,"m"
"Gatsby (Loving Hearts Honey)",2007,"m"
"Gaya",2010,"w"
"Gayla",2015,"w"
"Gedeone",2014,"m"
"Geeny",2010,"w"
"Gelahad",2008,"m"
"Gemma",2008,"w"
"Gemma",2010,"w"
"Gemma",2017,"w"
"Gemma Züsi",2003,"w"
"Gemme",2010,"w"
"Genette Bleue de la Vallée",2010,"w"
"Gentle",2008,"w"
"George",2013,"m"
"George",2015,"m"
"George",2016,"m"
"George",2015,"m"
"George",2014,"m"
"George (Jamiro)",2013,"m"
"George (Lotus)",2014,"m"
"Georges",2011,"m"
"Georgia",2015,"w"
"Georgy",2014,"m"
"Geronimo (Yoy)",2009,"m"
"Gerry",2011,"m"
"Gertie",2004,"w"
"Ghia",2006,"w"
"Gia",2008,"w"
"Giada",2010,"w"
"Giada",2007,"w"
"Giada",2005,"w"
"Gian",2014,"m"
"Gianna",2016,"w"
"Giannino",2006,"m"
"Gibbs",2008,"m"
"Gibson",2014,"m"
"Gideon",2003,"m"
"Gideon",2017,"m"
"Gigi",2011,"w"
"Gigi",2017,"m"
"Gigi",2017,"w"
"Gigi",2016,"m"
"Gil",2010,"m"
"Gila",2009,"w"
"Gili",2016,"w"
"Gill",2016,"w"
"Gilla",2011,"w"
"Gimli",2012,"m"
"Gimmy",2004,"m"
"Gimo",2002,"m"
"Gin",2007,"w"
"Gin",2012,"w"
"Gin",2010,"m"
"Gina",2016,"w"
"Gina",2005,"w"
"Gina",2016,"w"
"Gina",2015,"w"
"Gina",2011,"w"
"Gina",2014,"w"
"Gina",2006,"w"
"Gina",2009,"w"
"Gina",2008,"w"
"Gina",2001,"w"
"Gina",2009,"w"
"Gina",2009,"w"
"Gina",2003,"w"
"Gina",2005,"w"
"Gina",2014,"w"
"Gina",2010,"w"
"Gina",2013,"w"
"Gina",2010,"w"
"Gina",2012,"w"
"Gina",2006,"w"
"Gina (Bella)",2014,"w"
"Gina (Lola)",2016,"w"
"Ginger",2008,"m"
"Ginger",2006,"w"
"Ginger",2005,"w"
"Ginger",2003,"w"
"Ginger",2005,"m"
"Ginger",2004,"w"
"Ginger",2003,"w"
"Ginger",2013,"w"
"Ginger",2015,"w"
"Ginger",2012,"w"
"Ginger",2009,"w"
"Ginger",2009,"w"
"Ginger",2017,"w"
"Ginger",2017,"w"
"Ginger",2017,"w"
"Ginger",2013,"w"
"Ginger (Anastasia)",2005,"w"
"Ginger (Beautiful)",2008,"w"
"Ginger (Nicky)",2006,"w"
"Gingo",2004,"m"
"Gingy",2014,"w"
"Gini",2013,"w"
"Gini",2005,"w"
"Gini",2008,"w"
"Gini",2005,"w"
"Ginni",2010,"w"
"Ginnie",2013,"w"
"Ginnie",2012,"w"
"Ginny",2006,"w"
"Ginny",2014,"w"
"Ginny",2016,"w"
"Ginny",2004,"w"
"Ginny  (Eaily v. Ramat Gan)",2001,"w"
"Ginny (Manon)",2013,"w"
"Gino",2004,"m"
"Gino",2016,"m"
"Gino",2006,"m"
"Gino",2012,"m"
"Gino",2010,"m"
"Gino",2014,"m"
"Gino",2010,"m"
"Gino",2004,"m"
"Gino (Giamiro)",2015,"m"
"Ginsei",2015,"w"
"Giny",2005,"w"
"Gioby",2009,"m"
"Gioia",2004,"w"
"Gioia",2003,"w"
"Gioia",2006,"w"
"Gioia",2013,"w"
"Gioia",2012,"w"
"Gioia",2012,"w"
"Gioia",2010,"w"
"Gioia",2008,"w"
"Gioia",2015,"w"
"Gioia",2016,"w"
"Gioia",2016,"w"
"Gioia",2008,"w"
"Gioia",2008,"w"
"Gioia (Colette)",2011,"w"
"Giorgina (Bonnie)",2009,"w"
"Giorgio",2004,"m"
"Giorgio",2009,"m"
"Giotto",2011,"m"
"Giotto Nelson von Shenjamo",2016,"m"
"Giove",2013,"m"
"Gipfeli",2005,"m"
"Gipsy",2013,"w"
"Gipsy",2004,"m"
"Gipsy",2009,"m"
"Gipsy",2015,"w"
"Gipsy",2006,"w"
"Gipsy",2017,"m"
"Gipsy",2007,"w"
"Gipsy",2009,"w"
"Gipsy",2008,"w"
"Gipsy",2013,"w"
"Gipsy ",2007,"w"
"Gisa",2010,"w"
"Gisi",2006,"w"
"Gisi",2005,"w"
"Gismo",2012,"m"
"Gismo",2007,"m"
"Gismo",2009,"m"
"Gismo",2006,"m"
"Gismo",2007,"m"
"Gismo Aton v. Graf Toggenburg",2014,"m"
"Giuli (Asami)",2014,"w"
"Giulia",2012,"w"
"Giulietta (Eika v. Seebachtal)",2011,"w"
"Giulio",2017,"m"
"Gizi",2014,"w"
"Gizma",2003,"m"
"Gizmo",2007,"m"
"Gjynah",2014,"w"
"Gloria Loved Chocolates",2012,"w"
"Glüna",2008,"w"
"Godo",2002,"m"
"Godzilla",2016,"m"
"Golden",2014,"w"
"Goldie",2010,"w"
"Goldie",2012,"m"
"Goldo",2008,"m"
"Goliath",2015,"m"
"Goma",2006,"w"
"Gonzalo",2007,"m"
"Gonzo",2007,"m"
"Gonzo",2013,"m"
"Gonzo",2005,"m"
"Gora",2012,"m"
"Gordita",2007,"w"
"Gordon",2010,"m"
"Gordon Baance of Harmonie",2017,"m"
"Goro",2016,"m"
"Gory",2013,"m"
"Grace",2010,"w"
"Grace Muray Hopper dit ""Oslo""",2017,"w"
"Gracia",2011,"w"
"Gracie",2014,"w"
"Gracie",2012,"w"
"Graff",2017,"m"
"Granat v. Drumlin Wolf",2010,"m"
"Grappa",2014,"m"
"Graustein's",2015,"w"
"Gremlin",2016,"w"
"Greppetto",2007,"m"
"Greta",2015,"w"
"Greta",2007,"w"
"Gretik Sunrise Gold Great Guy",2016,"m"
"Gringo Super Star",2010,"m"
"Grischa",2011,"w"
"Grischun",2003,"m"
"Griselda",2016,"w"
"Grisu",2013,"m"
"Grisu",2008,"m"
"Grizzly",2012,"m"
"Grizzly (Kaori)",2016,"m"
"Grubcio",2012,"m"
"Guachita",2015,"w"
"Guaika",2004,"w"
"Guapo",2006,"m"
"Guapo",2008,"m"
"Gucci",2014,"m"
"Gucci",2013,"m"
"Gucci",2012,"m"
"Gucci",2006,"w"
"Gucci",2015,"w"
"Gucci (Clara)",2008,"w"
"Gucci (Couchi)",2004,"w"
"Gucci du Lilas Pourpre",2014,"m"
"Guido",2013,"m"
"Guille",2015,"m"
"Gus",2017,"m"
"Gus (Whisky du Dourd)",2011,"m"
"Gustav",2015,"m"
"Gustav",2008,"m"
"Gustav-Emil",2014,"m"
"Gypsy",2011,"w"
"Gypsy",2006,"w"
"Gypsy (IV)",2010,"m"
"Günther (Bounty)",2011,"m"
"H-Chika v. Burg Gryfenstein",2004,"w"
"Haaja",2013,"w"
"Habu",2016,"m"
"Hachie",2015,"w"
"Hachiko",2016,"m"
"Hada (Inga ya Mabubesi)",2010,"w"
"Hades",2013,"m"
"Hadley",2011,"m"
"Haiiro",2011,"m"
"Haiko",2014,"m"
"Haiku",2004,"m"
"Haiku",2014,"m"
"Haischa-Lou von Kopfrein",2008,"w"
"Halyma Tyra",2010,"w"
"Hamish",2011,"m"
"Hana",2013,"w"
"Hannah",2010,"w"
"Hanneton de Soleur",2010,"m"
"Hansika",2013,"w"
"Hanuk (Spike)",2016,"m"
"Hapi",2017,"m"
"Happi-Prinz",2011,"m"
"Happy",2013,"m"
"Happy",2003,"m"
"Happy",2014,"w"
"Happy",2005,"w"
"Happy",2015,"m"
"Happy",2013,"m"
"Happy Nelly",2013,"w"
"Happy Vitus",2012,"m"
"Hardy (Rino von Erlosen)",2015,"m"
"Hardy v. Försterhaus",2009,"m"
"Hari",2006,"m"
"Harlekino",2011,"m"
"Harley",2006,"w"
"Harlow",2013,"m"
"Harmonia",2007,"w"
"Harmony",2012,"w"
"Harpo",2006,"m"
"Harry",2012,"m"
"Harry",2011,"m"
"Harry",2014,"m"
"Harry",2005,"m"
"Harry",2015,"m"
"Harry",2009,"m"
"Harry",2006,"m"
"Harry",2010,"m"
"Harry",2004,"m"
"Harry",2016,"m"
"Harry",2016,"m"
"Harry - Hunter",2015,"m"
"Haru",2004,"w"
"Haru",2014,"w"
"Harva-Nessa",2016,"w"
"Harvey",2016,"m"
"Harvey",2017,"m"
"Haska",2007,"w"
"Hasley",2012,"w"
"Havane",2012,"w"
"Havy",2012,"w"
"Hawk",2012,"m"
"Hazel",2009,"w"
"Hazel Maggie",2011,"w"
"Hazel vom gelben Diamant",2016,"w"
"Heart of Luna",2014,"w"
"Heaven (Marie von der Linde)",2011,"w"
"Heaven-Maya",2016,"w"
"Hector",2016,"m"
"Hector-Amie v. Wilden Süden",2012,"m"
"Hedgar",2012,"m"
"Hei Hei",2015,"m"
"Heina",2013,"w"
"Heinrich",2006,"m"
"Helga",2013,"w"
"Helia vom Drumlin Wolf",2011,"w"
"Henjie De Syringa",2006,"w"
"Henri",2017,"m"
"Henri",2016,"m"
"Henrietta",2006,"w"
"Henry",2012,"m"
"Henry",2013,"m"
"Henry",2017,"m"
"Henry",2015,"m"
"Henry",2009,"m"
"Henry",2015,"m"
"Henry ",2015,"m"
"Henry (Alex v. B. Gryfenstein)",2016,"m"
"Henry (Dalmor)",2006,"m"
"Henry (Zar-Henry vom Hela-Hof)",2010,"m"
"Henry Tudo",2010,"m"
"Henry-Murphy",2016,"m"
"Hera",2015,"w"
"Hera",2012,"w"
"Hera",2015,"w"
"Hera",2009,"w"
"Hera vom G'stellmacherhof",2012,"w"
"Herby vom Oberneuhaus",2013,"m"
"Hercule",2010,"m"
"Hermes",2014,"m"
"Hermes (Tito)",2016,"m"
"Hermine",2015,"w"
"Hero",2015,"m"
"Hero",2010,"m"
"Hero",2016,"m"
"Herr Streuli",2004,"m"
"Herr Walther",2016,"m"
"Hershey",2006,"m"
"Hesra",2011,"w"
"Hestia v. Andreashöhe",2014,"w"
"Hetty",2007,"w"
"Heven",2009,"m"
"Heymitch (Basti)",2016,"m"
"Hilda",2016,"w"
"Hillary-Hippi",2005,"w"
"Himo",2017,"m"
"Hip pop",2012,"w"
"Hipsu 4",2009,"m"
"Hitsch",2015,"m"
"Hjo-Ca",2004,"m"
"Hobbes (Ilan)",2015,"m"
"Holly",2008,"w"
"Holly",2009,"w"
"Hollywood-Channel",2009,"w"
"Holston Speedboot",2017,"w"
"Honey",2003,"w"
"Honey",2005,"w"
"Honey",2009,"w"
"Honey",2009,"w"
"Honey",2008,"w"
"Honey",2010,"w"
"Honey  (Black)",2007,"w"
"Honey Bonny",2012,"w"
"Honey Pralina",2012,"w"
"Honey vom Chaschtele-Blick",2016,"w"
"Hoolie (Leila)",2012,"w"
"Hope",2013,"w"
"Hope",2015,"w"
"Hope (Kira)",2011,"w"
"Hopi",2012,"m"
"Horton",2011,"m"
"Houmer",2017,"m"
"Hubert",2011,"m"
"Hucky del tesoro d'oro",2016,"m"
"Hudson",2010,"m"
"Hugo",2006,"m"
"Hugo",2013,"m"
"Hugo",2013,"m"
"Hugo",2007,"m"
"Hugo",2004,"m"
"Hugo",2015,"m"
"Hugo",2016,"m"
"Hugo (Nike)",2013,"m"
"Hugo (Snoopy)",2016,"m"
"Hui Buh",2017,"m"
"Hunter",2014,"w"
"Hunter-Zorro v. Fridlispitz",2010,"m"
"Hurrican",2008,"m"
"Hutch",2017,"m"
"Häx",2012,"w"
"Häxli",2017,"w"
"Häxli",2008,"w"
"Héctor",2016,"m"
"Hörbi",2017,"m"
"I Love Fresa",2012,"w"
"I love Athos",2013,"m"
"I'm Rocky",2014,"m"
"I-Lena von Adlerhorst",2009,"w"
"Ian Rufus v. Lindenthalerdörfl",2015,"m"
"Iaro",2015,"m"
"Ibo von der Amalienburg",2009,"m"
"Ice",2013,"m"
"Ice Cube aus dem Farbtopf",2014,"m"
"Ice Prince Percy",2016,"m"
"Idefix",2013,"w"
"Idefix",2013,"m"
"Idefix",2005,"m"
"Idefix",2011,"m"
"Idefix",2005,"w"
"Idefix",2002,"w"
"Idefix vom Ghei",2015,"m"
"Idelis",2017,"w"
"Ignacio",2016,"m"
"Igor",2013,"m"
"Igor",2012,"m"
"Igor",2011,"m"
"Igor",2009,"m"
"Ijmhotep",2013,"m"
"Ikaru-Ciccio",2013,"m"
"Ikarus",2015,"m"
"Ikarus",2008,"m"
"Ike",2009,"m"
"Ikozou",2011,"w"
"Ilexa",2005,"w"
"Iloana",2016,"w"
"Iloy lupiter v. Hentschenried",2016,"m"
"Iluq (Nica von Kupferschmiede)",2011,"w"
"Ima",2006,"w"
"Imala",2013,"w"
"Imala",2017,"w"
"Imo",2002,"m"
"Imperator von Hartenfels",2011,"m"
"In äm Raja",2009,"m"
"Ina",2016,"w"
"Ina",2017,"w"
"Ina",2006,"w"
"Inaara",2009,"w"
"Inca",2007,"w"
"Inca (Brenda)",2016,"w"
"Indi (Max)",2016,"m"
"India",2005,"w"
"Indiana-Vicco",2017,"m"
"Indie",2016,"w"
"Indie",2009,"w"
"Indigo",2017,"m"
"Indigo",2011,"w"
"Indira Girl of Taiga's Dream",2012,"w"
"Indy",2014,"w"
"Indy (Arkadia)",2013,"w"
"Ingi (Topsi von Ebenland)",2015,"w"
"Ingo",2016,"m"
"Inja (von Ciney)",2007,"w"
"Inka",2013,"w"
"Inola (Dixxi)",2015,"w"
"Inouk",2012,"m"
"Inouk Yoshi",2017,"m"
"Inu",2002,"m"
"Inuki",2004,"m"
"Inyima",2013,"w"
"Iona de l'IIe Romande",2017,"w"
"Iota",2013,"w"
"Ipek",2015,"w"
"Ipo",2005,"w"
"Ipsy",2006,"w"
"Ira",2008,"w"
"Iraya",2009,"w"
"Iris",2015,"w"
"Iris",2016,"w"
"Iris",2009,"w"
"Iris",2015,"w"
"Iris",2013,"w"
"Irk",2009,"m"
"Irma",2013,"w"
"Irma",2012,"w"
"Iron",2012,"m"
"Isa",2008,"w"
"Isaak",2013,"m"
"Ischa",2005,"w"
"Ischla",2013,"w"
"Isi",2009,"m"
"Isidor (Waid little John )",2007,"m"
"Isis",2013,"w"
"Iska (Ilmatar von Mainikka)",2015,"w"
"Isom",2006,"w"
"Isy",2010,"m"
"Itty",2008,"w"
"Iva",2012,"w"
"Ivan Le Terrible",2013,"m"
"Ivana",2016,"w"
"Ivar",2004,"m"
"Ivi",2015,"w"
"Ivor of white Sparkle",2010,"m"
"Ivy",2013,"w"
"Ivy",2012,"w"
"Ivy",2017,"w"
"Ivy",2013,"w"
"Ivy",2017,"w"
"Ivy",2009,"w"
"Ivy (Qena von Ciney)",2012,"w"
"Ivy (You'r My Sunshine)",2016,"w"
"Iwa des seigneurs d'orient",2013,"w"
"Izabella",2008,"w"
"Izzy",2012,"w"
"J.J.",2006,"m"
"Ja (Inka)",2006,"w"
"Jabba",2010,"w"
"Jabba",2002,"m"
"Jabbo",2014,"m"
"Jabi",2012,"m"
"Jack",2003,"m"
"Jack",2010,"m"
"Jack",2012,"m"
"Jack",2010,"m"
"Jack",2011,"m"
"Jack",2005,"m"
"Jack",2006,"m"
"Jack",2010,"m"
"Jack",2011,"m"
"Jack",2013,"m"
"Jack",2016,"m"
"Jack",2005,"m"
"Jack",2017,"m"
"Jack",2014,"m"
"Jack",2001,"m"
"Jack",2016,"m"
"Jack",2015,"m"
"Jack",2010,"m"
"Jack",2002,"m"
"Jack",2015,"m"
"Jack",2010,"m"
"Jack",2003,"m"
"Jack (Tango)",2017,"m"
"Jack Mack's Jo-Idwal",2013,"m"
"Jack Mingan",2009,"m"
"Jack White",2014,"m"
"Jackie",2007,"w"
"Jackie",2015,"w"
"Jackie",2009,"m"
"Jackie",2008,"w"
"Jackie",2013,"m"
"Jackie",2016,"w"
"Jackson",2014,"m"
"Jackson",2016,"m"
"Jacky",2017,"m"
"Jacky",2016,"m"
"Jacky",2016,"m"
"Jacky",2014,"w"
"Jacky",2015,"m"
"Jacky",2017,"m"
"Jacky",2017,"m"
"Jacky",2010,"m"
"Jacky",2006,"m"
"Jacky",2014,"m"
"Jacky",2013,"m"
"Jacky",2013,"m"
"Jacky",2007,"m"
"Jacky",2015,"m"
"Jacky",2015,"m"
